coach,coach.link,coach.link.ref,team,year
Bob Hill,history.php?c=Bob+Hill,Bob+Hill,Fordham,2002
Jerry Tarkanian,history.php?c=Jerry+Tarkanian,Jerry+Tarkanian,Fresno St.,2002
Larry Davis,history.php?c=Larry+Davis,Larry+Davis,Furman,2002
Rick Scruggs,history.php?c=Rick+Scruggs,Rick+Scruggs,Gardner Webb,2002
Jim Larranaga,history.php?c=Jim+Larranaga,Jim+Larranaga,George Mason,2002
Karl Hobbs,history.php?c=Karl+Hobbs,Karl+Hobbs,George Washington,2002
Craig Esherick,history.php?c=Craig+Esherick,Craig+Esherick,Georgetown,2002
Jim Harrick,history.php?c=Jim+Harrick,Jim+Harrick,Georgia,2002
Jeff Price,history.php?c=Jeff+Price,Jeff+Price,Georgia Southern,2002
Lefty Driesell,history.php?c=Lefty+Driesell,Lefty+Driesell,Georgia St.,2002
Paul Hewitt,history.php?c=Paul+Hewitt,Paul+Hewitt,Georgia Tech,2002
Mark Few,history.php?c=Mark+Few,Mark+Few,Gonzaga,2002
Larry Wright,history.php?c=Larry+Wright,Larry+Wright,Grambling St.,2002
Mike Heideman,history.php?c=Mike+Heideman,Mike+Heideman,Green Bay,2002
Steve Merfeld,history.php?c=Steve+Merfeld,Steve+Merfeld,Hampton,2002
Larry Harrison,history.php?c=Larry+Harrison,Larry+Harrison,Hartford,2002
Frank Sullivan,history.php?c=Frank+Sullivan,Frank+Sullivan,Harvard,2002
Riley Wallace,history.php?c=Riley+Wallace,Riley+Wallace,Hawaii,2002
Jerry Steele,history.php?c=Jerry+Steele,Jerry+Steele,High Point,2002
Tom Pecora,history.php?c=Tom+Pecora,Tom+Pecora,Hofstra,2002
Ralph Willard,history.php?c=Ralph+Willard,Ralph+Willard,Holy Cross,2002
Ray McCallum,history.php?c=Ray+McCallum,Ray+McCallum,Houston,2002
Frankie Allen,history.php?c=Frankie+Allen,Frankie+Allen,Howard,2002
Leonard Perry,history.php?c=Leonard+Perry,Leonard+Perry,Idaho,2002
Doug Oliver,history.php?c=Doug+Oliver,Doug+Oliver,Idaho St.,2002
Bill Self,history.php?c=Bill+Self,Bill+Self,Illinois,2002
Jimmy Collins,history.php?c=Jimmy+Collins,Jimmy+Collins,Illinois Chicago,2002
Tom Richardson,history.php?c=Tom+Richardson,Tom+Richardson,Illinois St.,2002
Mike Davis,history.php?c=Mike+Davis,Mike+Davis,Indiana,2002
Royce Waltman,history.php?c=Royce+Waltman,Royce+Waltman,Indiana St.,2002
Jeff Ruland,history.php?c=Jeff+Ruland,Jeff+Ruland,Iona,2002
Steve Alford,history.php?c=Steve+Alford,Steve+Alford,Iowa,2002
Larry Eustachy,history.php?c=Larry+Eustachy,Larry+Eustachy,Iowa St.,2002
Doug Noll,history.php?c=Doug+Noll,Doug+Noll,IPFW,2002
Ron Hunter,history.php?c=Ron+Hunter,Ron+Hunter,IUPUI,2002
Andy Stoglin,history.php?c=Andy+Stoglin,Andy+Stoglin,Jackson St.,2002
Hugh Durham,history.php?c=Hugh+Durham,Hugh+Durham,Jacksonville,2002
Mike LaPlante,history.php?c=Mike+LaPlante,Mike+LaPlante,Jacksonville St.,2002
Sherman Dillard,history.php?c=Sherman+Dillard,Sherman+Dillard,James Madison,2002
Roy Williams,history.php?c=Roy+Williams,Roy+Williams,Kansas,2002
Jim Wooldridge,history.php?c=Jim+Wooldridge,Jim+Wooldridge,Kansas St.,2002
Stan Heath,history.php?c=Stan+Heath,Stan+Heath,Kent St.,2002
Tubby Smith,history.php?c=Tubby+Smith,Tubby+Smith,Kentucky,2002
Billy Hahn,history.php?c=Billy+Hahn,Billy+Hahn,La Salle,2002
Fran O'Hanlon,history.php?c=Fran+O%27Hanlon,Fran+O%27Hanlon,Lafayette,2002
Mike Deane,history.php?c=Mike+Deane,Mike+Deane,Lamar,2002
Sal Mentesana,history.php?c=Sal+Mentesana,Sal+Mentesana,Lehigh,2002
Mel Hankinson,history.php?c=Mel+Hankinson,Mel+Hankinson,Liberty,2002
Scott Sanderson,history.php?c=Scott+Sanderson,Scott+Sanderson,Lipscomb,2002
Ray Martin,history.php?c=Ray+Martin,Ray+Martin,LIU Brooklyn,2002
Wayne Morgan,history.php?c=Wayne+Morgan,Wayne+Morgan,Long Beach St.,2002
Jessie Evans,history.php?c=Jessie+Evans,Jessie+Evans,Louisiana Lafayette,2002
Mike Vining,history.php?c=Mike+Vining,Mike+Vining,Louisiana Monroe,2002
Keith Richard,history.php?c=Keith+Richard,Keith+Richard,Louisiana Tech,2002
Rick Pitino,history.php?c=Rick+Pitino,Rick+Pitino,Louisville,2002
Larry Farmer,history.php?c=Larry+Farmer,Larry+Farmer,Loyola Chicago,2002
Steve Aggers,history.php?c=Steve+Aggers,Steve+Aggers,Loyola Marymount,2002
Scott Hicks,history.php?c=Scott+Hicks,Scott+Hicks,Loyola MD,2002
John Brady,history.php?c=John+Brady,John+Brady,LSU,2002
John Giannini,history.php?c=John+Giannini,John+Giannini,Maine,2002
Bobby Gonzalez,history.php?c=Bobby+Gonzalez,Bobby+Gonzalez,Manhattan,2002
Dave Magarity,history.php?c=Dave+Magarity,Dave+Magarity,Marist,2002
Tom Crean,history.php?c=Tom+Crean,Tom+Crean,Marquette,2002
Greg White,history.php?c=Greg+White,Greg+White,Marshall,2002
Gary Williams,history.php?c=Gary+Williams,Gary+Williams,Maryland,2002
Thomas Trotter,history.php?c=Thomas+Trotter,Thomas+Trotter,Maryland Eastern Shore,2002
Steve Lappas,history.php?c=Steve+Lappas,Steve+Lappas,Massachusetts,2002
Tic Price,history.php?c=Tic+Price,Tic+Price,McNeese St.,2002
John Calipari,history.php?c=John+Calipari,John+Calipari,Memphis,2002
Mark Slonaker,history.php?c=Mark+Slonaker,Mark+Slonaker,Mercer,2002
Perry Clark,history.php?c=Perry+Clark,Perry+Clark,Miami FL,2002
Charlie Coles,history.php?c=Charlie+Coles,Charlie+Coles,Miami OH,2002
Tommy Amaker,history.php?c=Tommy+Amaker,Tommy+Amaker,Michigan,2002
Tom Izzo,history.php?c=Tom+Izzo,Tom+Izzo,Michigan St.,2002
Randy Wiel,history.php?c=Randy+Wiel,Randy+Wiel,Middle Tennessee,2002
Bruce Pearl,history.php?c=Bruce+Pearl,Bruce+Pearl,Milwaukee,2002
Dan Monson,history.php?c=Dan+Monson,Dan+Monson,Minnesota,2002
Rod Barnes,history.php?c=Rod+Barnes,Rod+Barnes,Mississippi,2002
Rick Stansbury,history.php?c=Rick+Stansbury,Rick+Stansbury,Mississippi St.,2002
Lafayette Stribling,history.php?c=Lafayette+Stribling,Lafayette+Stribling,Mississippi Valley St.,2002
Quin Snyder,history.php?c=Quin+Snyder,Quin+Snyder,Missouri,2002
Dave Calloway,history.php?c=Dave+Calloway,Dave+Calloway,Monmouth,2002
Don Holst,history.php?c=Don+Holst,Don+Holst,Montana,2002
Mick Durham,history.php?c=Mick+Durham,Mick+Durham,Montana St.,2002
Kyle Macy,history.php?c=Kyle+Macy,Kyle+Macy,Morehead St.,2002
Butch Beard,history.php?c=Butch+Beard,Butch+Beard,Morgan St.,2002
Derek Thompson,history.php?c=Derek+Thompson,Derek+Thompson,Morris Brown,2002
Jim Phelan,history.php?c=Jim+Phelan,Jim+Phelan,Mount St. Mary's,2002
Tevester Anderson,history.php?c=Tevester+Anderson,Tevester+Anderson,Murray St.,2002
Herb Sendek,history.php?c=Herb+Sendek,Herb+Sendek,N.C. State,2002
Don DeVoe,history.php?c=Don+DeVoe,Don+DeVoe,Navy,2002
Barry Collier,history.php?c=Barry+Collier,Barry+Collier,Nebraska,2002
Trent Johnson,history.php?c=Trent+Johnson,Trent+Johnson,Nevada,2002
Phil Rowe,history.php?c=Phil+Rowe,Phil+Rowe,New Hampshire,2002
Fran Fraschilla,history.php?c=Fran+Fraschilla,Fran+Fraschilla,New Mexico,2002
Lou Henson,history.php?c=Lou+Henson,Lou+Henson,New Mexico St.,2002
Monte Towe,history.php?c=Monte+Towe,Monte+Towe,New Orleans,2002
Joe Mihalich,history.php?c=Joe+Mihalich,Joe+Mihalich,Niagara,2002
Rickey Broussard,history.php?c=Rickey+Broussard,Rickey+Broussard,Nicholls St.,2002
Wil Jones,history.php?c=Wil+Jones,Wil+Jones,Norfolk St.,2002
Matt Doherty,history.php?c=Matt+Doherty,Matt+Doherty,North Carolina,2002
Curtis Hunter,history.php?c=Curtis+Hunter,Curtis+Hunter,North Carolina A&T,2002
Johnny Jones,history.php?c=Johnny+Jones,Johnny+Jones,North Texas,2002
Ron Everhart,history.php?c=Ron+Everhart,Ron+Everhart,Northeastern,2002
Mike Adras,history.php?c=Mike+Adras,Mike+Adras,Northern Arizona,2002
Rob Judson,history.php?c=Rob+Judson,Rob+Judson,Northern Illinois,2002
Greg McDermott,history.php?c=Greg+McDermott,Greg+McDermott,Northern Iowa,2002
Bill Carmody,history.php?c=Bill+Carmody,Bill+Carmody,Northwestern,2002
Mike McConathy,history.php?c=Mike+McConathy,Mike+McConathy,Northwestern St.,2002
Mike Brey,history.php?c=Mike+Brey,Mike+Brey,Notre Dame,2002
Greg Kampe,history.php?c=Greg+Kampe,Greg+Kampe,Oakland,2002
Tim O'Shea,history.php?c=Tim+O%27Shea,Tim+O%27Shea,Ohio,2002
Jim O'Brien,history.php?c=Jim+O%27Brien,Jim+O%27Brien,Ohio St.,2002
Kelvin Sampson,history.php?c=Kelvin+Sampson,Kelvin+Sampson,Oklahoma,2002
Eddie Sutton,history.php?c=Eddie+Sutton,Eddie+Sutton,Oklahoma St.,2002
Blaine Taylor,history.php?c=Blaine+Taylor,Blaine+Taylor,Old Dominion,2002
Scott Sutton,history.php?c=Scott+Sutton,Scott+Sutton,Oral Roberts,2002
Ernie Kent,history.php?c=Ernie+Kent,Ernie+Kent,Oregon,2002
Ritchie McKay,history.php?c=Ritchie+McKay,Ritchie+McKay,Oregon St.,2002
Bob Thomason,history.php?c=Bob+Thomason,Bob+Thomason,Pacific,2002
Fran Dunphy,history.php?c=Fran+Dunphy,Fran+Dunphy,Penn,2002
Jerry Dunn,history.php?c=Jerry+Dunn,Jerry+Dunn,Penn St.,2002
Paul Westphal,history.php?c=Paul+Westphal,Paul+Westphal,Pepperdine,2002
Ben Howland,history.php?c=Ben+Howland,Ben+Howland,Pittsburgh,2002
Michael Holton,history.php?c=Michael+Holton,Michael+Holton,Portland,2002
Joel Sobotka,history.php?c=Joel+Sobotka,Joel+Sobotka,Portland St.,2002
Elwood Plummer,history.php?c=Elwood+Plummer,Elwood+Plummer,Prairie View A&M,2002
John Thompson III,history.php?c=John+Thompson+III,John+Thompson+III,Princeton,2002
Tim Welsh,history.php?c=Tim+Welsh,Tim+Welsh,Providence,2002
Gene Keady,history.php?c=Gene+Keady,Gene+Keady,Purdue,2002
Joe DeSantis,history.php?c=Joe+DeSantis,Joe+DeSantis,Quinnipiac,2002
Ron Bradley,history.php?c=Ron+Bradley,Ron+Bradley,Radford,2002
Jim Baron,history.php?c=Jim+Baron,Jim+Baron,Rhode Island,2002
Willis Wilson,history.php?c=Willis+Wilson,Willis+Wilson,Rice,2002
John Beilein,history.php?c=John+Beilein,John+Beilein,Richmond,2002
Don Harnum,history.php?c=Don+Harnum,Don+Harnum,Rider,2002
Mark Schmidt,history.php?c=Mark+Schmidt,Mark+Schmidt,Robert Morris,2002
Gary Waters,history.php?c=Gary+Waters,Gary+Waters,Rutgers,2002
Jerome Jenkins,history.php?c=Jerome+Jenkins,Jerome+Jenkins,Sacramento St.,2002
Dave Bike,history.php?c=Dave+Bike,Dave+Bike,Sacred Heart,2002
Phil Martelli,history.php?c=Phil+Martelli,Phil+Martelli,Saint Joseph's,2002
Lorenzo Romar,history.php?c=Lorenzo+Romar,Lorenzo+Romar,Saint Louis,2002
Randy Bennett,history.php?c=Randy+Bennett,Randy+Bennett,Saint Mary's,2002
Bob Leckie,history.php?c=Bob+Leckie,Bob+Leckie,Saint Peter's,2002
Bob Marlin,history.php?c=Bob+Marlin,Bob+Marlin,Sam Houston St.,2002
Jimmy Tillette,history.php?c=Jimmy+Tillette,Jimmy+Tillette,Samford,2002
Brad Holland,history.php?c=Brad+Holland,Brad+Holland,San Diego,2002
Steve Fisher,history.php?c=Steve+Fisher,Steve+Fisher,San Diego St.,2002
Phil Mathews,history.php?c=Phil+Mathews,Phil+Mathews,San Francisco,2002
Steve Barnes,history.php?c=Steve+Barnes,Steve+Barnes,San Jose St.,2002
Dick Davey,history.php?c=Dick+Davey,Dick+Davey,Santa Clara,2002
Jack Grant,history.php?c=Jack+Grant,Jack+Grant,Savannah St.,2002
Louis Orr,history.php?c=Louis+Orr,Louis+Orr,Seton Hall,2002
Rob Lanier,history.php?c=Rob+Lanier,Rob+Lanier,Siena,2002
Mike Dement,history.php?c=Mike+Dement,Mike+Dement,SMU,2002
Bob Weltlich,history.php?c=Bob+Weltlich,Bob+Weltlich,South Alabama,2002
Dave Odom,history.php?c=Dave+Odom,Dave+Odom,South Carolina,2002
Cy Alexander,history.php?c=Cy+Alexander,Cy+Alexander,South Carolina St.,2002
Seth Greenberg,history.php?c=Seth+Greenberg,Seth+Greenberg,South Florida,2002
Gary Garner,history.php?c=Gary+Garner,Gary+Garner,Southeast Missouri St.,2002
Billy Kennedy,history.php?c=Billy+Kennedy,Billy+Kennedy,Southeastern Louisiana,2002
Ben Jobe,history.php?c=Ben+Jobe,Ben+Jobe,Southern,2002
Bruce Weber,history.php?c=Bruce+Weber,Bruce+Weber,Southern Illinois,2002
James Green,history.php?c=James+Green,James+Green,Southern Miss,2002
Bill Evans,history.php?c=Bill+Evans,Bill+Evans,Southern Utah,2002
Barry Hinson,history.php?c=Barry+Hinson,Barry+Hinson,Southwest Missouri St.,2002
Dennis Nutt,history.php?c=Dennis+Nutt,Dennis+Nutt,Southwest Texas St.,2002
Jan van Breda Kolff,history.php?c=Jan+van+Breda+Kolff,Jan+van+Breda+Kolff,St. Bonaventure,2002
Ron Ganulin,history.php?c=Ron+Ganulin,Ron+Ganulin,St. Francis NY,2002
Bobby Jones,history.php?c=Bobby+Jones,Bobby+Jones,St. Francis PA,2002
Mike Jarvis,history.php?c=Mike+Jarvis,Mike+Jarvis,St. John's,2002
Mike Montgomery,history.php?c=Mike+Montgomery,Mike+Montgomery,Stanford,2002
Danny Kaspar,history.php?c=Danny+Kaspar,Danny+Kaspar,Stephen F. Austin,2002
Derek Waugh,history.php?c=Derek+Waugh,Derek+Waugh,Stetson,2002
Nick Macarchuk,history.php?c=Nick+Macarchuk,Nick+Macarchuk,Stony Brook,2002
Jim Boeheim,history.php?c=Jim+Boeheim,Jim+Boeheim,Syracuse,2002
Billy Tubbs,history.php?c=Billy+Tubbs,Billy+Tubbs,TCU,2002
John Chaney,history.php?c=John+Chaney,John+Chaney,Temple,2002
Buzz Peterson,history.php?c=Buzz+Peterson,Buzz+Peterson,Tennessee,2002
Bret Campbell,history.php?c=Bret+Campbell,Bret+Campbell,Tennessee Martin,2002
Nolan Richardson III,history.php?c=Nolan+Richardson+III,Nolan+Richardson+III,Tennessee St.,2002
Jeff Lebo,history.php?c=Jeff+Lebo,Jeff+Lebo,Tennessee Tech,2002
Rick Barnes,history.php?c=Rick+Barnes,Rick+Barnes,Texas,2002
Melvin Watkins,history.php?c=Melvin+Watkins,Melvin+Watkins,Texas A&M,2002
Ronnie Arrow,history.php?c=Ronnie+Arrow,Ronnie+Arrow,Texas A&M Corpus Chris,2002
Bob Hoffman,history.php?c=Bob+Hoffman,Bob+Hoffman,Texas Pan American,2002
Ronnie Courtney,history.php?c=Ronnie+Courtney,Ronnie+Courtney,Texas Southern,2002
Bob Knight,history.php?c=Bob+Knight,Bob+Knight,Texas Tech,2002
Pat Dennis,history.php?c=Pat+Dennis,Pat+Dennis,The Citadel,2002
Stan Joplin,history.php?c=Stan+Joplin,Stan+Joplin,Toledo,2002
Michael Hunt,history.php?c=Michael+Hunt,Michael+Hunt,Towson,2002
Don Maestri,history.php?c=Don+Maestri,Don+Maestri,Troy St.,2002
Shawn Finney,history.php?c=Shawn+Finney,Shawn+Finney,Tulane,2002
John Phillips,history.php?c=John+Phillips,John+Phillips,Tulsa,2002
Murry Bartow,history.php?c=Murry+Bartow,Murry+Bartow,UAB,2002
Pat Douglass,history.php?c=Pat+Douglass,Pat+Douglass,UC Irvine,2002
John Masi,history.php?c=John+Masi,John+Masi,UC Riverside,2002
Bob Williams,history.php?c=Bob+Williams,Bob+Williams,UC Santa Barbara,2002
Kirk Speraw,history.php?c=Kirk+Speraw,Kirk+Speraw,UCF,2002
Steve Lavin,history.php?c=Steve+Lavin,Steve+Lavin,UCLA,2002
Tom Sullivan,history.php?c=Tom+Sullivan,Tom+Sullivan,UMBC,2002
Rich Zvosec,history.php?c=Rich+Zvosec,Rich+Zvosec,UMKC,2002
Eddie Biedenbach,history.php?c=Eddie+Biedenbach,Eddie+Biedenbach,UNC Asheville,2002
Fran McCaffery,history.php?c=Fran+McCaffery,Fran+McCaffery,UNC Greensboro,2002
Jerry Wainwright,history.php?c=Jerry+Wainwright,Jerry+Wainwright,UNC Wilmington,2002
Charlie Spoonhour,history.php?c=Charlie+Spoonhour,Charlie+Spoonhour,UNLV,2002
Henry Bibby,history.php?c=Henry+Bibby,Henry+Bibby,USC,2002
Eddie McCarter,history.php?c=Eddie+McCarter,Eddie+McCarter,UT Arlington,2002
Rick Majerus,history.php?c=Rick+Majerus,Rick+Majerus,Utah,2002
Stew Morrill,history.php?c=Stew+Morrill,Stew+Morrill,Utah St.,2002
Jason Rabedeaux,history.php?c=Jason+Rabedeaux,Jason+Rabedeaux,UTEP,2002
Tim Carter,history.php?c=Tim+Carter,Tim+Carter,UTSA,2002
Homer Drew,history.php?c=Homer+Drew,Homer+Drew,Valparaiso,2002
Kevin Stallings,history.php?c=Kevin+Stallings,Kevin+Stallings,Vanderbilt,2002
Mack McCarthy,history.php?c=Mack+McCarthy,Mack+McCarthy,VCU,2002
Tom Brennan,history.php?c=Tom+Brennan,Tom+Brennan,Vermont,2002
Jay Wright,history.php?c=Jay+Wright,Jay+Wright,Villanova,2002
Pete Gillen,history.php?c=Pete+Gillen,Pete+Gillen,Virginia,2002
Ricky Stokes,history.php?c=Ricky+Stokes,Ricky+Stokes,Virginia Tech,2002
Bart Bellairs,history.php?c=Bart+Bellairs,Bart+Bellairs,VMI,2002
Dereck Whittenburg,history.php?c=Dereck+Whittenburg,Dereck+Whittenburg,Wagner,2002
Skip Prosser,history.php?c=Skip+Prosser,Skip+Prosser,Wake Forest,2002
Bob Bender,history.php?c=Bob+Bender,Bob+Bender,Washington,2002
Paul Graham,history.php?c=Paul+Graham,Paul+Graham,Washington St.,2002
Joe Cravens,history.php?c=Joe+Cravens,Joe+Cravens,Weber St.,2002
Gale Catlett,history.php?c=Gale+Catlett,Gale+Catlett,West Virginia,2002
Steve Shurina,history.php?c=Steve+Shurina,Steve+Shurina,Western Carolina,2002
Jim Kerwin,history.php?c=Jim+Kerwin,Jim+Kerwin,Western Illinois,2002
Dennis Felton,history.php?c=Dennis+Felton,Dennis+Felton,Western Kentucky,2002
Robert McCullum,history.php?c=Robert+McCullum,Robert+McCullum,Western Michigan,2002
Mark Turgeon,history.php?c=Mark+Turgeon,Mark+Turgeon,Wichita St.,2002
Rick Boyages,history.php?c=Rick+Boyages,Rick+Boyages,William & Mary,2002
Gregg Marshall,history.php?c=Gregg+Marshall,Gregg+Marshall,Winthrop,2002
Bo Ryan,history.php?c=Bo+Ryan,Bo+Ryan,Wisconsin,2002
Richard Johnson,history.php?c=Richard+Johnson,Richard+Johnson,Wofford,2002
Ed Schilling,history.php?c=Ed+Schilling,Ed+Schilling,Wright St.,2002
Steve McClain,history.php?c=Steve+McClain,Steve+McClain,Wyoming,2002
Thad Matta,history.php?c=Thad+Matta,Thad+Matta,Xavier,2002
James Jones,history.php?c=James+Jones,James+Jones,Yale,2002
John Robic,history.php?c=John+Robic,John+Robic,Youngstown St.,2002
